,ROE,ROA,Margem Liquida,Margem Bruta,Divida Liquida,EBITDA,Divida_Liquida_EBITDA,Liquidez Corrente,PL/Ativos,Passivos/Ativos,Margem Ebit,Lucro Líquido,Dividendos Propostos (BPP),Dividendos a Pagar (BPP),Dividendos Pagos (DFC),Payout Contábil (%),Payout Caixa (%),FCL,Dividendos_Pagos_Total,Total_Acoes,VPA,LPA,Giro Ativos,Ticker_CVM,Ano,Dividendos_Pagos_T1,CNPJ,ticker
86,107.714,-9.224,-522.561,-259.6,243876.0,-167429.0,-1.457,1.159,-8.564,100.0,-111.705,-235633.0,0.0,0.0,0.0,-0.0,-0.0,-516119.0,0.0,0.0,0.0,0.0,1.765,11258,2015,0.0,00336701000104,TELB3
87,15.773,2.584,7.092,49.648,28933080.0,4760140.0,6.078,1.237,16.383,100.0,-30.735,1784930.0,391322.0,655306.0,-153227.0,58.637,8.584,-2580260.0,2405420.0,0.0,0.0,0.0,36.436,11312,2012,1280160.0,76535764000143,OIBR3
88,12.956,2.13,5.253,46.312,33428780.0,5286620.0,6.323,1.138,16.44,100.0,-27.712,1493020.0,0.0,230721.0,-174455.0,15.453,11.685,265010.0,1280160.0,0.0,0.0,0.0,40.547,11312,2013,5172.0,76535764000143,OIBR3
89,-22.818,-4.287,-15.6,46.084,33400220.0,5674640.0,5.886,1.158,18.788,100.0,-25.995,-4406420.0,0.0,185138.0,-870215.0,-4.202,-19.749,1227670.0,5172.0,0.0,0.0,0.0,27.481,11312,2014,57608.0,76535764000143,OIBR3
90,-37.12,-5.512,-19.55,44.034,44959300.0,2702400.0,16.637,1.488,14.849,100.0,-34.155,-5347600.0,0.0,96433.0,-93266.0,-1.803,-1.744,11489330.0,57608.0,0.0,0.0,0.0,28.195,11312,2015,37806.0,76535764000143,OIBR3
91,-57.172,-8.666,-27.393,35.188,40523050.0,60055.0,674.766,0.44,15.158,100.0,-34.957,-7121120.0,0.0,6442.0,-96638.0,-0.09,-1.357,-817100.0,37806.0,0.0,0.0,0.0,31.637,11312,2016,59462.0,76535764000143,OIBR3
92,49.259,-9.697,-27.979,37.005,47652520.0,-2361030.0,-20.183,0.35,-19.686,100.0,-46.93,-6656160.0,0.0,6222.0,-226776.0,-0.093,-3.407,-19900.0,59462.0,0.0,0.0,0.0,34.659,11312,2017,54.0,76535764000143,OIBR3
93,107.511,37.617,111.585,29.353,12064564.0,-5268260.0,-2.29,1.994,34.989,100.0,-53.235,24615600.0,0.0,6168.0,-54.0,0.025,0.0,-2054340.0,54.0,0.0,0.0,0.0,33.711,11312,2018,437.0,76535764000143,OIBR3
94,-51.106,-12.651,-45.168,23.944,16144848.0,-2977370.0,-5.423,1.52,24.755,100.0,-38.73,-9095110.0,0.0,5731.0,-58489.0,-0.063,-0.643,-4539040.0,437.0,0.0,0.0,0.0,28.009,11312,2019,0.0,76535764000143,OIBR3
95,-135.504,-14.259,-113.401,21.681,22235817.0,-1811220.0,-12.277,1.876,10.523,100.0,-41.19,-10528500.0,0.0,18094.0,0.0,-0.172,-0.0,1021350.0,0.0,5952363.0,1.305,-1.769,12.574,11312,2020,0.0,76535764000143,OIBR3
96,1174.655,-10.895,-81.009,5.333,30065860.0,-2037140.0,-14.759,1.759,-0.927,100.0,-24.765,-8492530.0,0.0,5762.0,0.0,-0.068,-0.0,-4908270.0,0.0,5952362.0,-0.121,-1.427,13.449,11312,2021,0.0,76535764000143,OIBR3
97,88.19,-65.052,-183.744,-1.891,19296720.0,-18264900.0,-1.056,0.938,-73.764,100.0,-172.306,-19265900.0,0.0,5500.0,-84546.0,-0.029,-0.439,14830380.0,0.0,5957175.0,-3.667,-3.234,35.404,11312,2022,0.0,76535764000143,OIBR3
98,19.894,-20.777,-55.854,4.462,23695510.0,-1805190.0,-13.126,0.544,-104.438,100.0,-23.038,-5427760.0,0.0,5495.0,-111334.0,-0.101,-2.051,-1485570.0,0.0,595718.0,-45.799,-9.111,37.198,11312,2023,0.0,76535764000143,OIBR3
99,12.154,8.236,10.996,23.419,5314.0,50896.0,0.104,2.315,67.768,100.0,-8.4,50118.0,0.0,18182.0,0.0,36.278,0.0,42670.0,2591.0,0.0,0.0,0.0,74.9,11398,2012,19668.0,15115504000124,CRPG3
100,2.732,2.057,2.843,8.475,385.0,-7751.0,-0.05,3.792,75.306,100.0,-5.638,11514.0,7016.0,2006.0,0.0,78.357,0.0,-1473.0,19668.0,0.0,0.0,0.0,72.357,11398,2013,2591.0,15115504000124,CRPG3
101,-14.226,-9.897,-13.077,4.507,36425.0,-36762.0,-0.991,2.96,69.573,100.0,-10.173,-51613.0,0.0,5672.0,0.0,-10.989,-0.0,-37011.0,2591.0,0.0,0.0,0.0,75.684,11398,2014,0.0,15115504000124,CRPG3
102,-6.115,-3.718,-4.948,7.38,79868.0,-23224.0,-3.439,2.533,60.806,100.0,-8.903,-20908.0,0.0,5669.0,0.0,-27.114,-0.0,10696.0,0.0,0.0,0.0,0.0,75.155,11398,2015,5321.0,15115504000124,CRPG3
103,9.537,5.104,11.053,41.265,267422.0,59173.0,4.519,1.974,53.524,100.0,-24.615,39282.0,0.0,7357.0,-2385.0,18.729,6.071,210851.0,2385.0,0.0,0.0,0.0,46.18,11592,2012,23838.0,33958695000178,UNIP3
104,21.835,8.036,31.565,43.553,218539.0,509483.0,0.429,1.081,36.803,100.0,20.33,280836.0,0.0,33962.0,3941.0,12.093,1.403,466939.0,23838.0,0.0,0.0,0.0,25.459,11592,2016,387365.0,33958695000178,UNIP3
105,28.547,8.835,10.143,29.97,761809.0,430697.0,1.769,0.964,30.95,100.0,-15.706,306264.0,0.0,100148.0,714900.0,32.7,233.426,-44667.0,387365.0,0.0,0.0,0.0,87.111,11592,2017,206961.0,33958695000178,UNIP3
106,37.86,13.542,15.78,36.32,826304.0,830642.0,0.995,1.416,35.767,100.0,-12.376,547440.0,0.0,38720.0,861759.0,7.073,157.416,355945.0,206961.0,0.0,0.0,0.0,85.814,11592,2018,24985.0,33958695000178,UNIP3
107,11.621,4.635,5.653,26.793,376023.0,397531.0,0.946,1.538,39.884,100.0,-13.754,172358.0,0.0,54437.0,512653.0,31.584,297.435,747125.0,24985.0,0.0,0.0,0.0,81.981,11592,2019,110562.0,33958695000178,UNIP3
108,21.288,8.212,9.571,34.501,-211312.0,748520.0,-0.282,1.541,38.574,100.0,-15.151,370215.0,0.0,23459.0,263705.0,6.337,71.23,917578.0,110562.0,94407.0,18.421,3.921,85.802,11592,2020,1365040.0,33958695000178,UNIP3
109,86.318,32.07,31.861,44.563,1143647.0,2944490.0,0.388,1.583,37.154,100.0,2.253,2003830.0,0.0,300216.0,1050000.0,14.982,52.4,875720.0,1365040.0,94402772.0,0.025,0.021,100.659,11592,2021,1355350.0,33958695000178,UNIP3
110,56.65,22.259,18.352,44.775,989624.0,2380260.0,0.416,1.74,39.292,100.0,-12.036,1334300.0,0.0,178706.0,508.0,13.393,0.038,1977516.0,1355350.0,103499066.0,0.023,0.013,121.286,11592,2022,345392.0,33958695000178,UNIP3
111,32.325,12.37,16.157,34.658,718189.0,979634.0,0.733,2.359,38.269,100.0,-14.654,791273.0,0.0,110416.0,750006.0,13.954,94.785,857448.0,345392.0,103164839.0,0.024,0.008,76.562,11592,2023,438648.0,33958695000178,UNIP3
